genoId,locId,replicate,blockNumber,rowNumber,colNumber,PlantHeight,GrainMoisture,GrainYield,Anthesisdate,DeNDVI0720,DeNDVI0807,DeNDVI0820,DeNDVI0910,DeNDRE0720,DeNDRE0807,DeNDRE0820,DeNDRE0910,DeSAVI0720,DeSAVI0807,DeSAVI0820,DeSAVI0910,DeEVI0720,DeEVI0807,DeEVI0820,DeEVI0910,DeRatio0720,DeRatio0807,DeRatio0820,DeRatio0910,ThrNDVI0720,ThrNDVI0807,ThrNDVI0820,ThrNDVI0910,ThrNDRE0720,ThrNDRE0807,ThrNDRE0820,ThrNDRE0910,ThrSAVI0720,ThrSAVI0807,ThrSAVI0820,ThrSAVI0910,ThrEVI0720,ThrEVI0807,ThrEVI0820,ThrEVI0910,ThrRatio0720,ThrRatio0807,ThrRatio0820,ThrRatio0910,PlantingDate,DTF,Est_Yield,Est_Moisture
29,NYH2,1,6,3,85,252,18.3,49.85229221,7/26/15,0.912758457,0.848836264,0.872394584,0.548414963,0.801562843,0.781951369,0.786069592,0.595251306,0.480095359,0.595601149,0.659709758,0.104182797,0.49084176,0.639221621,0.735895318,0.090704562,21.92485816,12.23068646,14.67331591,3.428844701,0.922344037,0.845574302,0.888580373,0.463144554,0.818829672,0.778747296,0.79491901,0.603698398,0.467799361,0.573338957,0.649188794,0.061788715,0.470147646,0.609059168,0.715648601,0.051376676,24.75462238,11.95121232,16.95015888,2.725397622,5/7/15,80,49.852,18.3
30,NYH2,2,4,7,70,220,21.4,152.1512242,8/1/15,0.866641892,0.873837328,0.863451501,0.752688636,0.767402505,0.794472654,0.782912979,0.712278115,0.395303035,0.584369917,0.629958665,0.286572143,0.389214204,0.626867563,0.692033371,0.267829063,13.99721338,14.85254951,13.64681054,7.086971708,0.845485361,0.876243651,0.863742497,0.761473842,0.770249142,0.787334461,0.776381198,0.712502499,0.338026743,0.548597605,0.58535115,0.28883665,0.318885986,0.580734277,0.623766763,0.265678911,11.9437574,15.160787,13.67809084,7.384824627,5/7/15,86,152.15,21.4
31,NYH2,1,1,1,65,217,16.4,127.5291196,7/26/15,0.899747898,0.888182849,0.884102109,0.588411768,0.820270101,0.817071559,0.809617871,0.631446818,0.384584848,0.560210041,0.610671377,0.273070267,0.374415277,0.588770431,0.659716876,0.251878053,18.94970633,16.88634382,16.25656934,3.859225426,0.916440656,0.898711337,0.930341012,0.588330775,0.890086957,0.818782197,0.825564549,0.631486693,0.327581156,0.514398634,0.557316792,0.273042294,0.302532953,0.530687266,0.5788847,0.251435268,22.93508501,18.74554654,27.71129849,3.858269407,5/7/15,80,127.53,16.4
32,NYH2,2,7,9,49,193,18.9,93.85309982,7/27/15,0.900478073,0.879511215,0.881003144,0.643355546,0.802826904,0.802877122,0.802235027,0.648220063,0.408661903,0.553143463,0.616927338,0.355147167,0.401452435,0.583292238,0.670612424,0.34067264,19.09607394,15.59905525,15.80716668,4.607825883,0.912472537,0.883305977,0.907744686,0.643355546,0.839761984,0.796509772,0.814549109,0.648220063,0.366746717,0.509602974,0.57505102,0.355147167,0.344001274,0.528910013,0.605689116,0.34070095,21.84997104,16.1388384,20.67896804,4.607825883,5/7/15,81,93.853,18.9
33,NYH2,2,5,8,75,198,21.3,145.7211138,7/25/15,0.907315996,0.876656727,0.876674452,0.658569366,0.809582353,0.810352191,0.802859269,0.654365597,0.438220032,0.589998247,0.641694014,0.127354717,0.439016686,0.630560924,0.703999464,0.111665796,20.57869651,15.21490944,15.21723995,4.8577052,0.933746318,0.884457321,0.893050145,0.74161119,0.832474903,0.813873108,0.811507127,0.715220226,0.418821991,0.565599055,0.612473592,0.104681929,0.406955403,0.599253214,0.656011673,0.089471856,29.1870017,16.30962111,17.70035253,6.740273275,5/7/15,79,145.72,21.3
34,NYH2,2,2,6,57,138,23.3,138.7902291,7/31/15,0.867741606,0.880328066,0.867413136,0.732115395,0.779923136,0.817308826,0.799606306,0.696594498,0.393623693,0.547058119,0.625396483,0.436297937,0.387851191,0.572497487,0.683267823,0.436412261,14.12191354,15.71235624,14.08445056,6.465901229,0.843939525,0.889153659,0.862738441,0.7321093,0.775806841,0.820304913,0.800425981,0.696596448,0.334926299,0.493117682,0.569462221,0.436295229,0.316705018,0.505398321,0.59863688,0.436250562,11.81554473,17.04299516,13.57072187,6.465731351,5/7/15,85,138.79,23.3
35,NYH2,1,8,4,52,217,15.4,159.3156632,7/23/15,0.919740162,0.874652229,0.892746422,0.517808942,0.809282061,0.789834791,0.804233739,0.61964729,0.479416823,0.589460541,0.653391096,0.279740219,0.48951544,0.633440576,0.724860778,0.255330705,23.91906364,14.95560884,17.64739651,3.147733491,0.937256846,0.880017913,0.927124254,0.517826779,0.837483901,0.789009832,0.8211179,0.619645104,0.47003749,0.574683934,0.643504216,0.279746481,0.469993896,0.614690929,0.704951001,0.255359879,30.87598763,15.66915501,26.44397305,3.147886931,5/7/15,77,158.18,15.413
35,NYH2,2,10,10,55,232,15.6,153.6114652,7/22/15,0.922453269,0.870313076,0.893384653,0.451498318,0.814208668,0.786906086,0.804661009,0.616878222,0.496096583,0.564733853,0.660504435,0.208017575,0.507845308,0.597477387,0.734122605,0.182070386,24.79090029,14.4217552,17.75902533,2.646296934,0.939071222,0.872248481,0.925648612,0.451510784,0.84145119,0.781635493,0.819305032,0.61685966,0.498015678,0.529114898,0.661535146,0.20802208,0.498905026,0.551925735,0.729429932,0.181962684,31.82521102,14.65539112,25.89929594,2.646379807,5/7/15,76,154.75,15.587
36,NYH2,2,5,8,73,210,17.8,169.4973727,7/26/15,0.926853979,0.880751109,0.886562692,0.641511079,0.830440467,0.809389722,0.804151638,0.656246443,0.457249481,0.61759934,0.661099883,0.126091092,0.459935638,0.670446191,0.734202741,0.110485522,26.3425673,15.77164438,16.6308839,4.578972965,0.968677317,0.888098128,0.911420988,0.694401099,0.877495993,0.813537555,0.815211783,0.718947651,0.453700121,0.60895299,0.64969041,0.10155216,0.444351545,0.659309433,0.710855864,0.086400437,62.85149164,16.87280202,21.57871192,5.544526163,5/7/15,80,169.5,17.8
37,NYH2,1,1,1,59,217,20.3,134.9954961,7/28/15,0.890074913,0.864043861,0.867532634,0.685020318,0.787096311,0.788683113,0.784361988,0.653238409,0.40155534,0.560483654,0.621334581,0.357817285,0.395305577,0.593070888,0.679763156,0.34568457,17.1942089,13.71062669,14.09805822,5.349615901,0.882059234,0.855481589,0.866559051,0.684951013,0.806892661,0.776757004,0.777997058,0.653185497,0.351858791,0.512211078,0.57279914,0.357790675,0.327955564,0.531466686,0.60418491,0.345649564,15.95766503,12.83906717,13.98790295,5.348219109,5/7/15,82,135,20.3
